sample_id,arch_code,sample_node,MAE
1,"[1, 4, 5, 6, 5, 2]",random,1.272568583
2,"[6, 5, 6, 3, 6, 0]",random,1.266739011
3,"[6, 0, 2, 2, 1, 0]",random,1.22929585
4,"[6, 5, 4, 0, 6, 1]",random,1.263895392
5,"[3, 2, 1, 5, 3, 3]",random,1.271263242
6,"[1, 1, 5, 1, 3, 3]",random,1.287692666
7,"[3, 4, 0, 0, 6, 2]",random,1.224898577
8,"[5, 4, 1, 4, 5, 6]",random,1.354839683
9,"[4, 3, 2, 0, 0, 0]",random,1.310157776
10,"[1, 4, 4, 4, 1, 3]",random,1.265452862
11,"[1, 6, 2, 3, 6, 4]",random,1.284164667
12,"[2, 0, 5, 2, 1, 2]",random,1.549170017
13,"[0, 6, 6, 4, 3, 6]",random,1.25525856
14,"[5, 6, 5, 5, 0, 6]",random,1.227026343
15,"[6, 5, 4, 5, 1, 3]",random,1.253447175
16,"[4, 0, 3, 5, 4, 2]",random,1.29392457
17,"[4, 5, 4, 0, 2, 5]",random,1.313434005
18,"[4, 3, 6, 5, 0, 0]",random,1.26838553
19,"[6, 3, 2, 3, 3, 3]",random,1.267731786
20,"[0, 2, 0, 4, 3, 3]",random,1.288321614
21,"[2, 2, 2, 1, 5, 1]",random,1.282822728
22,"[5, 0, 4, 1, 5, 3]",random,1.291089058
23,"[5, 3, 1, 2, 0, 0]",random,1.255452394
24,"[2, 3, 0, 0, 2, 6]",random,1.290001392
25,"[3, 0, 5, 0, 3, 5]",random,1.273816586
26,"[1, 6, 2, 2, 4, 6]",random,1.271966577
27,"[0, 3, 6, 4, 0, 3]",random,1.423836827
28,"[6, 6, 0, 5, 5, 5]",random,1.218044877
29,"[4, 6, 2, 3, 6, 6]",random,1.571630478
30,"[0, 1, 2, 1, 2, 5]",random,1.260969639
31,"[3, 6, 5, 2, 6, 5]",random,1.327994823
32,"[5, 6, 3, 2, 4, 1]",random,1.295672655
33,"[0, 4, 5, 4, 1, 3]",random,1.281119823
34,"[1, 1, 5, 6, 1, 3]",random,1.328875184
35,"[2, 0, 6, 6, 0, 4]",random,1.565651298
36,"[1, 2, 2, 1, 1, 4]",random,1.231169581
37,"[0, 0, 3, 0, 1, 2]",random,1.257283688
38,"[0, 5, 6, 4, 1, 3]",random,1.328329563
39,"[5, 3, 0, 1, 3, 1]",random,1.434434772
40,"[5, 4, 6, 5, 4, 1]",random,1.318246365
41,"[0, 6, 5, 6, 2, 4]",random,1.272019148
42,"[4, 5, 3, 2, 6, 4]",random,1.268298268
43,"[3, 0, 6, 0, 3, 3]",random,1.229199648
44,"[1, 4, 2, 2, 1, 0]",random,1.233609319
45,"[4, 2, 5, 1, 4, 2]",random,1.358477116
46,"[2, 1, 3, 0, 0, 0]",random,1.254234195
47,"[2, 2, 6, 6, 3, 5]",random,1.523109794
48,"[6, 5, 2, 5, 0, 3]",random,1.360554934
49,"[1, 1, 3, 4, 0, 3]",random,1.302075386
50,"[3, 6, 4, 3, 6, 0]",random,1.310827851
51,"[4, 6, 0, 2, 1, 1]",random,1.348718762
52,"[3, 1, 6, 5, 5, 6]",random,1.348916054
53,"[1, 6, 4, 1, 3, 5]",random,1.32374692
54,"[1, 3, 6, 6, 3, 6]",random,1.371670604
55,"[5, 0, 3, 0, 0, 1]",random,1.274014831
56,"[2, 3, 6, 0, 3, 6]",random,1.355967879
57,"[0, 0, 3, 3, 4, 6]",random,1.392845869
58,"[3, 6, 6, 5, 5, 0]",random,1.332179308
59,"[0, 6, 1, 3, 2, 4]",random,1.331130862
60,"[5, 4, 5, 3, 0, 4]",random,1.274798155
61,"[4, 1, 5, 6, 1, 1]",random,1.24802959
62,"[1, 5, 3, 1, 2, 6]",random,1.315552592
63,"[0, 2, 2, 0, 1, 4]",random,1.280420899
64,"[4, 4, 1, 3, 1, 4]",random,1.464788914
65,"[0, 4, 2, 1, 2, 0]",random,1.27097404
66,"[4, 0, 6, 3, 5, 3]",random,1.60810554
67,"[5, 3, 0, 5, 4, 6]",random,1.371075273
68,"[1, 5, 3, 1, 5, 3]",random,1.260272384
69,"[4, 0, 2, 2, 5, 1]",random,1.361492395
70,"[3, 2, 2, 3, 5, 0]",random,1.370537758
71,"[4, 6, 3, 2, 4, 6]",random,1.343206167
72,"[6, 5, 6, 6, 1, 6]",random,1.242196918
73,"[0, 1, 4, 4, 0, 3]",random,1.289747477
74,"[5, 4, 4, 5, 5, 2]",random,1.36624825
75,"[2, 6, 6, 3, 4, 6]",random,1.336675167
76,"[3, 2, 0, 5, 2, 3]",random,1.420117736
77,"[0, 4, 2, 1, 3, 1]",random,1.272212982
