sample_id,arch_code,sample_node,MAE
1,"[1, 4, 5, 6, 5, 2]",random,1.2725685834884644
2,"[6, 5, 6, 3, 6, 0]",random,1.266739010810852
3,"[6, 0, 2, 2, 1, 0]",random,1.22929585
4,"[6, 5, 4, 0, 6, 1]",random,1.2638953924179077
5,"[3, 2, 1, 5, 3, 3]",random,1.271263242
6,"[1, 1, 5, 1, 3, 3]",random,1.287692666053772
7,"[3, 4, 0, 0, 6, 2]",random,1.2248985767364502
8,"[5, 4, 1, 4, 5, 6]",random,1.354839683
9,"[4, 3, 2, 0, 0, 0]",random,1.3101577758789062
10,"[1, 4, 4, 4, 1, 3]",random,1.265452862
11,"[1, 6, 2, 3, 6, 4]",random,1.2841646671295166
12,"[2, 0, 5, 2, 1, 2]",random,1.5491700172424316
13,"[0, 6, 6, 4, 3, 6]",random,1.25525856
14,"[5, 6, 5, 5, 0, 6]",random,1.227026343345642
15,"[6, 5, 4, 5, 1, 3]",random,1.25344717502594
16,"[4, 0, 3, 5, 4, 2]",random,1.2939245700836182
17,"[4, 5, 4, 0, 2, 5]",random,1.3134340047836304
18,"[4, 3, 6, 5, 0, 0]",random,1.2683855295181274
19,"[6, 3, 2, 3, 3, 3]",random,1.267731785774231
20,"[0, 2, 0, 4, 3, 3]",random,1.288321614265442
21,"[2, 2, 2, 1, 5, 1]",random,1.282822728
22,"[5, 0, 4, 1, 5, 3]",random,1.2910890579223633
23,"[5, 3, 1, 2, 0, 0]",random,1.255452394
24,"[2, 3, 0, 0, 2, 6]",random,1.290001392364502
25,"[3, 0, 5, 0, 3, 5]",random,1.273816586
26,"[1, 6, 2, 2, 4, 6]",random,1.271966577
27,"[0, 3, 6, 4, 0, 3]",random,1.4238368272781372
28,"[6, 6, 0, 5, 5, 5]",random,1.2180448770523071
29,"[4, 6, 2, 3, 6, 6]",random,1.5716304779052734
30,"[0, 1, 2, 1, 2, 5]",random,1.260969638824463
31,"[3, 6, 5, 2, 6, 5]",random,1.327994823
32,"[5, 6, 3, 2, 4, 1]",random,1.295672655
33,"[0, 4, 5, 4, 1, 3]",random,1.281119823
34,"[1, 1, 5, 6, 1, 3]",random,1.328875184059143
35,"[2, 0, 6, 6, 0, 4]",random,1.565651298
36,"[1, 2, 2, 1, 1, 4]",random,1.231169581413269
37,"[0, 0, 3, 0, 1, 2]",random,1.257283688
38,"[0, 5, 6, 4, 1, 3]",random,1.3283295631408691
39,"[5, 3, 0, 1, 3, 1]",random,1.434434772
40,"[5, 4, 6, 5, 4, 1]",random,1.3182463645935059
41,"[0, 6, 5, 6, 2, 4]",random,1.2720191478729248
42,"[4, 5, 3, 2, 6, 4]",random,1.2682982683181763
43,"[3, 0, 6, 0, 3, 3]",random,1.2291996479034424
44,"[1, 4, 2, 2, 1, 0]",random,1.2336093187332153
45,"[4, 2, 5, 1, 4, 2]",random,1.3584771156311035
46,"[2, 1, 3, 0, 0, 0]",random,1.2542341947555542
47,"[2, 2, 6, 6, 3, 5]",random,1.523109793663025
48,"[6, 5, 2, 5, 0, 3]",random,1.360554934
49,"[1, 1, 3, 4, 0, 3]",random,1.3020753860473633
50,"[3, 6, 4, 3, 6, 0]",random,1.310827851
51,"[4, 6, 0, 2, 1, 1]",random,1.348718762
52,"[3, 1, 6, 5, 5, 6]",random,1.3489160537719727
53,"[1, 6, 4, 1, 3, 5]",random,1.32374692
54,"[1, 3, 6, 6, 3, 6]",random,1.3716706037521362
55,"[5, 0, 3, 0, 0, 1]",random,1.274014831
56,"[2, 3, 6, 0, 3, 6]",random,1.3559678792953491
57,"[0, 0, 3, 3, 4, 6]",random,1.392845869
58,"[3, 6, 6, 5, 5, 0]",random,1.332179307937622
59,"[0, 6, 1, 3, 2, 4]",random,1.331130862
60,"[5, 4, 5, 3, 0, 4]",random,1.2747981548309326
61,"[4, 1, 5, 6, 1, 1]",random,1.2480295896530151
62,"[1, 5, 3, 1, 2, 6]",random,1.3155525922775269
63,"[0, 2, 2, 0, 1, 4]",random,1.280420899
64,"[4, 4, 1, 3, 1, 4]",random,1.4647889137268066
65,"[0, 4, 2, 1, 2, 0]",random,1.27097404
66,"[4, 0, 6, 3, 5, 3]",random,1.6081055402755737
